Growth-Media	WELL-ID	In-Group
PMA sulfur source test + <i>N</i>-acetyl-L-cysteine	G1	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + glycolate	F9	Biolog PM1 - Carbon Sources
PMA carbon source test + sorbate	F9	Biolog PM2 - Carbon Sources
PMA nitrogen source test + thymidine	F9	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + cysteinylglycine	F9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + galactarate	F8	Biolog PM1 - Carbon Sources
PMA carbon source test + sebacate	F8	Biolog PM2 - Carbon Sources
PMA nitrogen source test + thymine	F8	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + D-cysteine	F8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-ribono-1,4-lactone	F7	Biolog PM2 - Carbon Sources
PMA carbon source test + propionate	F7	Biolog PM1 - Carbon Sources
PMA nitrogen source test + guanosine	F7	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + cys	F7	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + bromosuccinate	F6	Biolog PM1 - Carbon Sources
PMA carbon source test + L-quinate	F6	Biolog PM2 - Carbon Sources
PMA nitrogen source test + guanine	F6	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + dithiophosphate	F6	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 3-oxalomalate	F5	Biolog PM2 - Carbon Sources
PMA carbon source test + fumarate	F5	Biolog PM1 - Carbon Sources
PMA nitrogen source test + cytosine	F5	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + thiophosphate	F5	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-threonine	F4	Biolog PM1 - Carbon Sources
PMA carbon source test + oxalate	F4	Biolog PM2 - Carbon Sources
PMA nitrogen source test + cytidine	F4	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + tetrathionate	F4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + melibionate	F3	Biolog PM2 - Carbon Sources
PMA carbon source test + <I>myo</I>-inositol	F3	Biolog PM1 - Carbon Sources
PMA nitrogen source test + adenosine	F3	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + thiosulfate	F3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + citrate	F2	Biolog PM1 - Carbon Sources
PMA carbon source test + malonate	F2	Biolog PM2 - Carbon Sources
PMA nitrogen source test + adenine	F2	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + sulfate	F2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + inosine	F12	Biolog PM1 - Carbon Sources
PMA carbon source test + L-tartrate	F12	Biolog PM2 - Carbon Sources
PMA nitrogen source test + inosine	F12	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + 3-sulfinoalanine	F12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + cellobiose	F11	Biolog PM1 - Carbon Sources
PMA carbon source test + D-tartrate	F11	Biolog PM2 - Carbon Sources
PMA nitrogen source test + uridine	F11	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + cysteamine	F11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + glyoxylate	F10	Biolog PM1 - Carbon Sources
PMA carbon source test + succinamate	F10	Biolog PM2 - Carbon Sources
PMA nitrogen source test + uracil	F10	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + (<i>R</i>)-cysteate	F10	Biolog PM4 - Phosphorus and Sulfur Sources
Bochner defined minimal medium without sulfur	F1	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + gly-asp	F1	Biolog PM1 - Carbon Sources
PMA carbon source test + methyl D-lactate	F1	Biolog PM2 - Carbon Sources
PMA nitrogen source test + <i>N</i>-acetyl-D-mannosamine	F1	Biolog PM3 - Nitrogen Sources
PMA carbon source test + 4-hydroxybutyrate	E9	Biolog PM2 - Carbon Sources
PMA carbon source test + D-ribitol	E9	Biolog PM1 - Carbon Sources
PMA nitrogen source test + galactosamine	E9	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + thymidine 3'-monophosphate	E9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 3-hydroxybutanoate	E8	Biolog PM2 - Carbon Sources
PMA carbon source test + methyl-&beta; -D-glucoside	E8	Biolog PM1 - Carbon Sources
PMA nitrogen source test + D-glucosamine	E8	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + methylenediphosphonate	E8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 2-hydroxybutyrate	E7	Biolog PM1 - Carbon Sources
PMA carbon source test + 4-hydroxybenzoate	E7	Biolog PM2 - Carbon Sources
PMA nitrogen source test + D,L-lactamide	E7	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 2-aminoethylphosphonate	E7	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + &alpha;-hydroxyglutarate-&gamma;-lactone	E6	Biolog PM1 - Carbon Sources
PMA carbon source test + salicylate	E6	Biolog PM2 - Carbon Sources
PMA nitrogen source test + glucuronamide	E6	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + phosphonoacetate	E6	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-glucosamine	E5	Biolog PM2 - Carbon Sources
PMA carbon source test + Tween 80	E5	Biolog PM1 - Carbon Sources
PMA nitrogen source test + formamide	E5	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + phosphoryl-ethanolamine	E5	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + citramalate	E4	Biolog PM2 - Carbon Sources
PMA carbon source test + D-fructose-6-phosphate	E4	Biolog PM1 - Carbon Sources
PMA nitrogen source test + acetamide	E4	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + phosphoryl-choline	E4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + &alpha;-D-glucose 1-phosphate	E3	Biolog PM1 - Carbon Sources
PMA carbon source test + citraconate	E3	Biolog PM2 - Carbon Sources
PMA nitrogen source test + tyramine	E3	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + creatine-phosphate	E3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + hexanoate	E2	Biolog PM2 - Carbon Sources
PMA carbon source test + <i>meso</i>-tartrate	E2	Biolog PM1 - Carbon Sources
PMA nitrogen source test + 2-phenylethylamine	E2	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + O-phospho-L-tyrosine	E2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 5-dehydro-D-gluconate	E12	Biolog PM2 - Carbon Sources
PMA carbon source test + adenosine	E12	Biolog PM1 - Carbon Sources
PMA nitrogen source test + an N-acetyl-D-galactosamine	E12	Biolog PM3 - Nitrogen Sources
