dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
108,83333,ascB,ascB,NE,,PEC
108,83333,ascF,ascF,NE,,PEC
108,83333,ascG,ascG,NE,,PEC
108,83333,asd,asd,E,,PEC
108,83333,aslA,aslA,NE,,PEC
108,83333,aslB,aslB,NE,,PEC
108,83333,asmA,asmA,NE,,PEC
108,83333,asnA,asnA,NE,,PEC
108,83333,asnB,asnB,NE,,PEC
108,83333,asnC,asnC,NE,,PEC
108,83333,asnS,asnS,E,,PEC
108,83333,asnT,asnT,NE,,PEC
108,83333,asnU,asnU,NE,,PEC
108,83333,asnV,asnV,NE,,PEC
108,83333,asnW,asnW,NE,,PEC
108,83333,aspA,aspA,NE,,PEC
108,83333,aspC,aspC,NE,,PEC
108,83333,aspS,aspS,E,,PEC
108,83333,aspT,aspT,NE,,PEC
108,83333,aspU,aspU,NE,,PEC
108,83333,aspV,aspV,NE,,PEC
108,83333,asr,asr,NE,,PEC
108,83333,astA,astA,NE,,PEC
108,83333,astB,astB,NE,,PEC
108,83333,astC,astC,NE,,PEC
108,83333,astD,astD,NE,,PEC
108,83333,astE,astE,NE,,PEC
108,83333,atoA,atoA,NE,,PEC
108,83333,atoB,atoB,NE,,PEC
108,83333,atoC,atoC,NE,,PEC
108,83333,atoD,atoD,NE,,PEC
108,83333,atoE,atoE,NE,,PEC
108,83333,atoS,atoS,NE,,PEC
108,83333,atpA,atpA,NE,,PEC
108,83333,atpB,atpB,NE,,PEC
108,83333,atpC,atpC,NE,,PEC
108,83333,atpD,atpD,NE,,PEC
108,83333,atpE,atpE,NE,,PEC
108,83333,atpF,atpF,NE,,PEC
108,83333,atpG,atpG,NE,,PEC
108,83333,atpH,atpH,NE,,PEC
108,83333,atpI,atpI,NE,,PEC
108,83333,att$phi$80,att$phi$80,NE,,PEC
108,83333,att186,att186,NE,,PEC
108,83333,att253,att253,NE,,PEC
108,83333,attHK022,attHK022,NE,,PEC
108,83333,attHK139,attHK139,NE,,PEC
108,83333,attLAM,attLAM,NE,,PEC
108,83333,attP1,,,,
108,83333,attP22,attP22,NE,,PEC
108,83333,attP2H,attP2H,NE,,PEC
108,83333,attP2II,attP2II,NE,,PEC
108,83333,attP2III,attP2III,NE,,PEC
108,83333,attP4,attP4,NE,,PEC
108,83333,attPA-2,attPA-2,NE,,PEC
108,83333,attTn7,attTn7,NE,,PEC
108,83333,atte14,atte14,NE,,PEC
108,83333,attl,attl,NE,,PEC
108,83333,avtA,avtA,NE,,PEC
108,83333,azaA,azaA,NE,,PEC
108,83333,azaB,azaB,NE,,PEC
108,83333,azl,azl,NE,,PEC
108,83333,azoR,azoR,NE,,PEC
108,83333,azuC,azuC,NE,,PEC
108,83333,b3837,b3837,NE,,PEC
108,83333,bacA,bacA,NE,,PEC
108,83333,baeR,baeR,NE,,PEC
108,83333,baeS,baeS,NE,,PEC
108,83333,bamA,bamA,E,,PEC
108,83333,bamB,bamB,NE,,PEC
108,83333,bamC,bamC,NE,,PEC
108,83333,bamD,bamD,E,,PEC
108,83333,bamE,bamE,NE,,PEC
108,83333,barA,barA,NE,,PEC
108,83333,basR,basR,NE,,PEC
108,83333,basS,basS,NE,,PEC
108,83333,bax,bax,NE,,PEC
108,83333,bcp,bcp,NE,,PEC
108,83333,bcr,bcr,NE,,PEC
108,83333,bcsA,bcsA,NE,,PEC
108,83333,bcsB,bcsB,NE,,PEC
108,83333,bcsC,bcsC,NE,,PEC
108,83333,bcsE,bcsE,NE,,PEC
108,83333,bcsF,bcsF,NE,,PEC
108,83333,bcsG,bcsG,NE,,PEC
108,83333,bcsQ,bcsQ,NE,,PEC
108,83333,bcsZ,bcsZ,NE,,PEC
108,83333,bdcA,bdcA,NE,,PEC
108,83333,bdcR,bdcR,NE,,PEC
108,83333,bdm,bdm,NE,,PEC
108,83333,beeE,beeE,NE,,PEC
108,83333,betA,betA,NE,,PEC
108,83333,betB,betB,NE,,PEC
108,83333,betI,betI,NE,,PEC
108,83333,betT,betT,NE,,PEC
108,83333,bfd,bfd,NE,,PEC
108,83333,bfm,bfm,NE,,PEC
108,83333,bfr,bfr,NE,,PEC
